layer,level,class,id,plot_id,percentage_inside,Site,cover,clumpy,pd,pland
1,class,1,NA,208,100.094512,ana,coral,0.992551275,2.997167319,3.33262699
1,class,1,NA,209,99.99401546,ana,coral,0.995296799,1.000059849,0.405343299
1,class,1,NA,210,100.094512,ana,coral,0.994291058,0.999055773,0.244192852
1,class,1,NA,213,99.99391446,ana,coral,0.997401376,1.000060859,0.713215033
1,class,1,NA,217,99.99391446,ana,coral,0.99849231,2.000121718,1.856823673
1,class,1,NA,219,99.89351896,ana,coral,0.996796743,1.001065945,0.852956938
1,class,1,NA,220,99.99391446,ana,coral,1,1.000060859,4.04E-04
1,class,1,NA,222,99.89351896,ana,coral,0.997443908,1.001065945,0.484009585
1,class,1,NA,223,99.99391446,ana,coral,0.992154594,4.000243437,3.107096394
1,class,1,NA,228,99.99391446,ana,coral,0.995402405,2.000121718,0.750284842
1,class,1,NA,229,99.89351896,ana,coral,0.995201608,2.002131891,1.390149945
1,class,1,NA,231,100.094512,ana,coral,0.995645166,1.998111546,4.255918145
1,class,1,NA,232,99.99401546,ana,coral,0.998408903,1.000059849,0.776647054
1,class,1,NA,238,100.094512,ana,coral,0.998400116,0.999055773,0.932877238
1,class,1,NA,240,100.094512,ana,coral,0.99798759,0.999055773,2.563419507
1,class,1,NA,242,99.89351896,ana,coral,0.99461919,2.002131891,2.521965967
1,class,1,NA,243,99.99391446,ana,coral,0.997505521,1.000060859,1.366532529
1,class,1,NA,247,99.99391446,ana,coral,0.995144369,2.000121718,3.142752095
1,class,0,NA,11,99.94930406,man,coral,0.992724864,1.000507217,0.419365702
1,class,0,NA,15,99.94930406,man,coral,0.997682319,1.000507217,1.625363998
1,class,0,NA,21,100.0900777,man,coral,0.99616953,0.999100033,0.55586217
1,class,0,NA,25,100.0900777,man,coral,0.938092237,0.999100033,0.042926011
1,class,0,NA,35,99.94930406,man,coral,0.997811398,1.000507217,2.195677582
1,class,0,NA,36,99.94930406,man,coral,0.991112224,3.00152165,4.022503516
1,class,0,NA,46,100.0900777,man,coral,0.991854896,2.9973001,2.926287929
1,class,0,NA,53,99.80872838,man,coral,0.996785358,1.001916382,0.821662369
1,class,0,NA,60,99.94930406,man,coral,0.998220425,1.000507217,3.067886928
1,class,0,NA,65,100.0900777,man,coral,0.998034329,0.999100033,2.873273316
1,class,0,NA,66,100.0900777,man,coral,0.994357944,0.999100033,1.367302249
1,class,0,NA,71,99.94930406,man,coral,0.992380784,2.001014433,3.124740001
1,class,0,NA,74,99.94930406,man,coral,0.99441766,1.000507217,1.49422555
1,class,0,NA,75,99.94930406,man,coral,0.985909841,13.00659382,24.33628494
1,class,0,NA,76,99.94930406,man,coral,0.989323328,5.002536083,6.207087815
1,class,0,NA,81,100.0900777,man,coral,0.989612213,6.993700234,11.23514157
1,class,0,NA,85,100.0900777,man,coral,0.987301591,8.991900301,10.72517264
1,class,0,NA,86,100.0900777,man,coral,0.993839697,1.998200067,3.210153485
1,class,0,NA,91,100.0900777,man,coral,0.993636608,1.998200067,3.171381604
1,class,0,NA,93,99.94930406,man,coral,0.993247072,2.001014433,1.658841941
1,class,0,NA,95,100.0900777,man,coral,0.990708168,1.998200067,1.863226256
1,class,0,NA,96,100.0900777,man,coral,0.991928775,0.999100033,1.143177039
1,class,0,NA,101,99.94930406,man,coral,0.99376873,2.001014433,2.854539332
1,class,0,NA,102,99.94930406,man,coral,0.997033682,1.000507217,1.129533884
1,class,0,NA,103,99.80872838,man,coral,0.993620263,3.005749145,3.122197977
1,class,0,NA,104,99.94930406,man,coral,1,1.000507217,7.92E-04
1,class,0,NA,112,100.0900777,man,coral,0.987281971,7.992800267,11.49764303
1,class,0,NA,113,99.94930406,man,coral,0.987771008,5.002536083,5.373704958
1,class,0,NA,114,100.0900777,man,coral,0.997155516,0.999100033,1.427833859
1,class,0,NA,121,99.94930406,man,coral,0.98431664,15.00760825,14.92304035
1,class,0,NA,122,99.94930406,man,coral,0.986956403,6.003043299,5.40302292
1,class,0,NA,123,99.80872838,man,coral,0.991956928,3.005749145,4.89367189
1,class,0,NA,124,99.94930406,man,coral,0.995089544,3.00152165,4.41908837
1,class,0,NA,126,99.94930406,man,coral,0.994320477,3.00152165,1.722034033
1,class,0,NA,131,100.0900777,man,coral,0.98231296,23.9784008,26.48198591
1,class,0,NA,132,100.0900777,man,coral,0.983233925,19.98200067,24.04529189
1,class,0,NA,133,99.94930406,man,coral,0.984984373,13.00659382,9.783086706
1,class,0,NA,134,100.0900777,man,coral,0.98657732,8.991900301,9.196452769
1,class,0,NA,135,100.0900777,man,coral,0.988990492,1.998200067,0.874147662
1,class,0,NA,136,100.0900777,man,coral,0.98999275,4.995500167,8.427147438
1,class,0,NA,137,100.0900777,man,coral,0.998182288,0.999100033,2.304948756
1,class,0,NA,141,99.94930406,man,coral,0.993542671,2.001014433,2.459539233
1,class,0,NA,142,99.94930406,man,coral,0.984960293,16.00811547,14.3376716
1,class,0,NA,143,99.80872838,man,coral,0.98384862,11.0210802,9.60960127
1,class,0,NA,144,99.94930406,man,coral,0.990647503,3.00152165,5.5260395
1,class,0,NA,145,99.94930406,man,coral,0.993614383,2.001014433,3.015193835
1,class,0,NA,146,99.94930406,man,coral,0.985944876,8.004057733,8.259741289
1,class,0,NA,147,99.94930406,man,coral,0.992150367,3.00152165,2.909213367
1,class,0,NA,148,99.80872838,man,coral,0.992497214,3.005749145,4.559611188
1,class,0,NA,151,100.0900777,man,coral,0.992814959,2.9973001,4.787536027
1,class,0,NA,152,100.0900777,man,coral,0.993748554,1.998200067,1.216764487
1,class,0,NA,153,99.94930406,man,coral,0.987058286,4.002028866,4.333313524
1,class,0,NA,154,100.0900777,man,coral,0.992210161,1.998200067,2.015544359
1,class,0,NA,155,100.0900777,man,coral,0.993227515,2.9973001,3.476017811
1,class,0,NA,156,100.0900777,man,coral,0.991801311,2.9973001,2.394954908
1,class,0,NA,157,100.0900777,man,coral,0.988277275,4.995500167,5.735271136
1,class,0,NA,162,100.0900777,man,coral,0.993304626,1.998200067,3.421816304
1,class,0,NA,163,99.94930406,man,coral,0.987598816,4.002028866,3.176244528
1,class,0,NA,164,100.0900777,man,coral,0.986136078,6.993700234,5.226291292
1,class,0,NA,165,100.0900777,man,coral,0.988917945,3.996400134,3.273454515
1,class,0,NA,166,100.0900777,man,coral,0.991179307,5.994600201,9.538476146
1,class,0,NA,167,100.0900777,man,coral,0.985460535,12.98830043,19.9592104
1,class,0,NA,168,99.94930406,man,coral,0.970118015,3.00152165,0.668964561
1,class,0,NA,171,99.94930406,man,coral,0.986974373,9.004564949,7.386739565
1,class,0,NA,172,99.94930406,man,coral,0.990959574,5.002536083,8.799350251
1,class,0,NA,174,99.94930406,man,coral,0.988028084,4.002028866,3.847982409
1,class,0,NA,175,99.94930406,man,coral,0.991061824,2.001014433,1.147362374
1,class,0,NA,176,99.94930406,man,coral,0.985093825,15.00760825,17.10861512
1,class,0,NA,177,99.94930406,man,coral,0.991644666,4.002028866,8.558467542
1,class,0,NA,178,99.80872838,man,coral,0.998160606,1.001916382,3.027375521
1,class,0,NA,181,100.0900777,man,coral,0.985487292,7.992800267,6.250778899
1,class,0,NA,182,100.0900777,man,coral,0.986158046,8.991900301,9.150559522
1,class,0,NA,184,100.0900777,man,coral,0.987503331,1.998200067,1.577778173
1,class,0,NA,186,100.0900777,man,coral,0.990805574,3.996400134,5.32757294
1,class,0,NA,187,100.0900777,man,coral,0.988837454,4.995500167,7.229966708
1,class,0,NA,188,99.94930406,man,coral,0.994531502,2.001014433,0.519997623
1,class,0,NA,191,99.94930406,man,coral,0.989189002,5.002536083,5.573384045
1,class,0,NA,192,99.94930406,man,coral,0.988228687,7.003550516,11.35219191
1,class,0,NA,193,99.80872838,man,coral,0.997892444,1.001916382,1.157905178
1,class,0,NA,194,99.94930406,man,coral,0.997040414,1.000507217,0.548919395
1,class,0,NA,195,99.94930406,man,coral,0.987075315,3.00152165,3.166934094
1,class,0,NA,196,99.94930406,man,coral,0.989033443,4.002028866,5.044274083
1,class,0,NA,197,99.94930406,man,coral,0.996544553,1.000507217,2.12931598
1,class,0,NA,201,100.0900777,man,coral,0.988345753,7.992800267,12.24439736
1,class,0,NA,202,100.0900777,man,coral,0.983720872,8.991900301,6.952035623
1,class,0,NA,203,99.94930406,man,coral,0.997623411,1.000507217,0.172936352
1,class,0,NA,204,100.0900777,man,coral,0.988038515,4.995500167,7.240648756
1,class,0,NA,205,100.0900777,man,coral,0.997597494,0.999100033,1.522389772
1,class,0,NA,206,100.0900777,man,coral,0.989345259,5.994600201,9.203376319
1,class,0,NA,207,100.0900777,man,coral,0.99473598,0.999100033,0.731324713
1,class,0,NA,210,100.0900777,man,coral,0.997623638,0.999100033,5.260315595
1,class,0,NA,212,99.94930406,man,coral,0.987761625,8.004057733,8.584615994
1,class,0,NA,213,99.80872838,man,coral,0.988429376,3.005749145,3.712953779
1,class,0,NA,214,99.94930406,man,coral,0.987448577,6.003043299,4.981280086
1,class,0,NA,215,99.94930406,man,coral,0.998294348,1.000507217,0.535845169
1,class,0,NA,216,99.94930406,man,coral,0.994815176,1.000507217,0.860917969
1,class,0,NA,221,100.0900777,man,coral,0.994616226,1.998200067,4.553322216
1,class,0,NA,222,100.0900777,man,coral,0.991357077,2.9973001,3.711418517
1,class,0,NA,223,99.94930406,man,coral,0.990763944,4.002028866,4.950575464
1,class,0,NA,224,100.0900777,man,coral,0.989904624,2.9973001,2.266770322
1,class,0,NA,225,100.0900777,man,coral,0.996870327,0.999100033,0.518474999
1,class,0,NA,226,100.0900777,man,coral,0.995627985,0.999100033,1.910702028
1,class,0,NA,232,99.94930406,man,coral,0.993375561,2.001014433,2.649313603
1,class,0,NA,233,99.80872838,man,coral,0.996678634,1.001916382,2.219996033
1,class,0,NA,236,99.94930406,man,coral,0.983221919,1.000507217,0.237713199
1,class,0,NA,241,100.0900777,man,coral,0.987233966,6.993700234,8.192537995
1,class,0,NA,242,100.0900777,man,coral,0.986594215,8.991900301,8.53515482
1,class,0,NA,243,99.94930406,man,coral,0.990124566,3.00152165,4.57043244
1,class,0,NA,1,100.0311061,vhu,coral,0.987304537,18.99409167,36.4182162
1,class,0,NA,2,99.91145171,vhu,coral,0.987284375,20.01772535,23.9860877
1,class,0,NA,3,100.0311061,vhu,coral,0.988894222,15.99502457,30.00114603
1,class,0,NA,4,100.0311061,vhu,coral,0.987669768,18.99409167,28.62175171
1,class,0,NA,5,99.91145171,vhu,coral,0.987620069,18.01595282,32.34909821
1,class,0,NA,6,99.91145171,vhu,coral,0.985264768,24.02127042,43.04664922
