plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
32,1,man,bare,class,NA,NA,NA,0,NA
32,255,vhu,bare,class,1,NA,99.91145171,25.83699667,NA
33,1,ana,bare,class,NA,NA,NA,0,NA
33,1,man,bare,class,NA,NA,NA,0,NA
33,255,vhu,bare,class,1,NA,100.0311061,27.48961407,NA
34,1,ana,bare,class,NA,NA,NA,0,NA
34,1,man,bare,class,NA,NA,NA,0,NA
34,255,vhu,bare,class,1,NA,100.0311061,45.57029482,NA
35,1,ana,bare,class,NA,NA,NA,0,NA
35,1,man,bare,class,NA,NA,NA,0,NA
35,255,vhu,bare,class,1,NA,100.0311061,40.52201816,NA
36,1,ana,bare,class,NA,NA,NA,0,NA
36,1,man,bare,class,NA,NA,NA,0,NA
36,255,vhu,bare,class,1,NA,99.91145171,43.50790634,NA
37,1,ana,bare,class,NA,NA,NA,0,NA
37,1,man,bare,class,NA,NA,NA,0,NA
37,255,vhu,bare,class,1,NA,100.0311061,59.70346389,NA
38,1,ana,bare,class,NA,NA,NA,0,NA
38,1,man,bare,class,NA,NA,NA,0,NA
38,255,vhu,bare,class,1,NA,100.0311061,70.75838753,NA
39,1,ana,bare,class,1,NA,99.89351896,0.239628727,NA
39,1,man,bare,class,1,NA,99.94930406,0.102216676,NA
39,255,vhu,bare,class,1,NA,99.91145171,28.59579046,NA
40,1,ana,bare,class,NA,NA,NA,0,NA
40,1,man,bare,class,1,NA,99.94930406,36.30217309,NA
40,255,vhu,bare,class,1,NA,100.0311061,49.41194167,NA
41,1,ana,bare,class,NA,NA,NA,0,NA
41,1,man,bare,class,NA,NA,NA,0,NA
41,255,vhu,bare,class,1,NA,100.0311061,5.933873879,NA
42,1,ana,bare,class,NA,NA,NA,0,NA
42,1,man,bare,class,NA,NA,NA,0,NA
42,255,vhu,bare,class,1,NA,99.91145171,40.57528058,NA
43,1,ana,bare,class,NA,NA,NA,0,NA
43,1,man,bare,class,NA,NA,NA,0,NA
43,255,vhu,bare,class,1,NA,100.0311061,36.73953528,NA
44,1,ana,bare,class,NA,NA,NA,0,NA
44,1,man,bare,class,NA,NA,NA,0,NA
44,255,vhu,bare,class,1,NA,100.0311061,45.79377131,NA
45,1,ana,bare,class,NA,NA,NA,0,NA
45,1,man,bare,class,NA,NA,NA,0,NA
45,255,vhu,bare,class,1,NA,100.0311061,30.84405352,NA
46,1,ana,bare,class,NA,NA,NA,0,NA
46,1,man,bare,class,NA,NA,NA,0,NA
46,255,vhu,bare,class,1,NA,99.91145171,20.79357453,NA
47,1,ana,bare,class,NA,NA,NA,0,NA
47,1,man,bare,class,NA,NA,NA,0,NA
47,255,vhu,bare,class,1,NA,100.0311061,61.62922958,NA
48,1,ana,bare,class,NA,NA,NA,0,NA
48,1,man,bare,class,NA,NA,NA,0,NA
48,255,vhu,bare,class,1,NA,100.0311061,97.53115778,NA
49,1,ana,bare,class,1,NA,99.99401546,4.04E-04,NA
49,1,man,bare,class,NA,NA,NA,0,NA
49,255,vhu,bare,class,1,NA,99.91145171,49.76198501,NA
50,1,ana,bare,class,NA,NA,NA,0,NA
50,1,man,bare,class,1,NA,100.0900777,5.719445879,NA
50,255,vhu,bare,class,1,NA,100.0311061,55.47016016,NA
51,1,ana,bare,class,NA,NA,NA,0,NA
51,1,man,bare,class,NA,NA,NA,0,NA
51,255,vhu,bare,class,1,NA,100.0311061,6.200040111,NA
52,1,ana,bare,class,NA,NA,NA,0,NA
52,1,man,bare,class,NA,NA,NA,0,NA
52,255,vhu,bare,class,1,NA,99.91145171,10.71519237,NA
53,1,ana,bare,class,NA,NA,NA,0,NA
53,1,man,bare,class,NA,NA,NA,0,NA
53,255,vhu,bare,class,1,NA,100.0311061,27.34378134,NA
54,1,ana,bare,class,NA,NA,NA,0,NA
54,1,man,bare,class,NA,NA,NA,0,NA
54,255,vhu,bare,class,1,NA,100.0311061,34.60175343,NA
55,1,ana,bare,class,NA,NA,NA,0,NA
55,1,man,bare,class,NA,NA,NA,0,NA
55,255,vhu,bare,class,1,NA,100.0311061,25.36372232,NA
56,1,ana,bare,class,NA,NA,NA,0,NA
56,1,man,bare,class,NA,NA,NA,0,NA
56,255,vhu,bare,class,1,NA,99.91145171,20.95937466,NA
57,1,ana,bare,class,NA,NA,NA,0,NA
57,1,man,bare,class,NA,NA,NA,0,NA
57,255,vhu,bare,class,1,NA,100.0311061,42.07704209,NA
58,1,ana,bare,class,NA,NA,NA,0,NA
58,1,man,bare,class,NA,NA,NA,0,NA
58,255,vhu,bare,class,1,NA,100.0311061,68.08798671,NA
59,1,ana,bare,class,1,NA,99.89351896,13.33447924,NA
59,1,man,bare,class,NA,NA,NA,0,NA
59,255,vhu,bare,class,1,NA,99.91145171,65.57854351,NA
60,1,ana,bare,class,1,NA,99.99391446,9.176444207,NA
60,1,man,bare,class,1,NA,99.94930406,2.949426517,NA
60,255,vhu,bare,class,1,NA,100.0311061,56.3700828,NA
61,1,ana,bare,class,NA,NA,NA,0,NA
61,1,man,bare,class,NA,NA,NA,0,NA
61,255,vhu,bare,class,1,NA,100.0311061,43.32421282,NA
62,1,ana,bare,class,NA,NA,NA,0,NA
62,1,man,bare,class,NA,NA,NA,0,NA
62,255,vhu,bare,class,1,NA,99.91145171,21.54397791,NA
63,1,ana,bare,class,NA,NA,NA,0,NA
63,1,man,bare,class,NA,NA,NA,0,NA
