ParentMaterials,Depth,AveDepthcm,MBCugCpergDrySoil
HAHTM,0-20,6.5,895.6144179
HAHTM,0-20,6.5,581.1377733
HAHTM,0-20,8.5,1296.438691
HAHTM,0-20,2.5,5251.1133
HAHTM,0-20,3,3273.606447
HAHTM,0-20,3,2881.409171
HAHTM,0-20,4.5,1526.775501
NDM,0-20,7.5,1251.818165
NDM,0-20,1.5,13322.75621
NDM,0-20,2.5,2253.029181
