plot_id,class,Site,cover,level,layer,id,percentage_inside,clumpy,pd,pland,NA
28,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
28,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
28,0,vhu,coral,class,1,NA,100.0311061,0.989645677,13.99564649,25.93115205,NA
29,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
29,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
29,0,vhu,coral,class,1,NA,99.91145171,0.988706995,14.01240775,31.03101581,NA
30,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
30,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
30,0,vhu,coral,class,1,NA,100.0311061,0.990779407,10.99657939,21.92547919,NA
31,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
31,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
31,0,vhu,coral,class,1,NA,100.0311061,0.986203748,16.9947136,41.57808784,NA
32,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
32,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
32,0,vhu,coral,class,1,NA,99.91145171,0.988545431,14.01240775,30.62096167,NA
33,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
33,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
33,0,vhu,coral,class,1,NA,100.0311061,0.984323068,25.99191492,40.83574478,NA
34,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
34,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
34,0,vhu,coral,class,1,NA,100.0311061,0.986445785,20.99346974,40.54264676,NA
35,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
35,0,man,coral,class,1,NA,99.94930406,0.997811398,1.000507217,2.195677582,NA
35,0,vhu,coral,class,1,NA,99.91145171,0.987136738,20.01772535,34.44469146,NA
36,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
36,0,man,coral,class,1,NA,99.94930406,0.991112224,3.00152165,4.022503516,NA
36,0,vhu,coral,class,1,NA,99.91145171,0.989407756,16.01418028,25.40083904,NA
37,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
37,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
37,0,vhu,coral,class,1,NA,100.0311061,0.990075994,12.99595746,22.72569693,NA
38,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
38,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
38,0,vhu,coral,class,1,NA,100.0311061,0.988611668,12.99595746,18.71486692,NA
39,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
39,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
39,0,vhu,coral,class,1,NA,99.91145171,0.990540935,7.006203874,11.39474345,NA
