x,y
2176.533295,20874.92069
2463.676783,20870.7645
5868.334005,20865.90934
1827.27127,20860.60849
4376.706016,20861.29111
6708.898339,20861.42009
3174.819379,20860.62486
2582.50197,20859.93675
923.9418174,20857.59467
5374.962602,20850.34924
7479.69122,20847.44073
1973.172377,20846.06198
3492.640666,20845.26945
7214.287692,20844.59218
6380.520884,20845.02157
261.8955311,20837.35301
4582.883747,20836.06493
2898.777157,20827.38981
802.9290362,20832.19518
1494.234727,20816.32739
1801.670842,20790.94694
6233.32531,20798.59804
5159.370904,20804.3136
1711.345354,20770.10166
2703.581237,20755.36911
3154.489002,20751.58337
6801.488992,20763.94997
687.181338,20795.99647
5421.272587,20747.89868
4367.355853,20778.69672
1166.597684,20764.00486
1364.491486,20767.76476
4440.111369,20773.23184
7547.933019,20743.71349
2778.249891,20735.6216
3878.417626,20798.18372
1606.124114,20724.17522
5516.651293,20728.15336
6173.346024,20717.50369
5415.402169,20700.30081
7669.02452,20738.09873
7908.751944,20751.12608
7037.970821,20737.02266
5239.460838,20692.2465
478.1490985,20706.01604
295.2102676,20700.58437
1946.815211,20685.2153
4959.801846,20681.61433
7159.273186,20698.86633
1023.100311,20676.1424
7589.156714,20654.44262
5054.539914,20704.34808
8229.828807,20701.00963
5465.438739,20633.69429
4432.608715,20666.8622
4643.046852,20673.72477
1825.381427,20663.6638
65.77750859,20665.15031
6024.12727,20680.96305
2371.280789,20659.79878
6857.976277,20650.79238
737.4250501,20658.27156
3929.967875,20621.90533
5740.400423,20618.19255
638.8592372,20613.73723
7790.445739,20623.92168
5629.399519,20629.62798
4741.963347,20609.29581
3662.737389,20595.90961
4164.504677,20634.448
7608.124139,20571.19266
3760.804073,20626.52275
1228.395891,20582.71185
831.8900407,20545.47565
6516.96655,20599.95238
1079.587525,20570.06081
8335.491012,20561.8007
3923.020343,20536.96322
6714.346393,20563.45902
3232.038985,20522.06397
7521.065447,20535.07258
6219.947957,20507.28558
2247.008143,20515.20794
1156.037641,20489.22312
5660.230627,20505.06891
2369.250744,20541.09404
3549.76414,20518.33753
4434.604179,20526.86839
6966.816452,20501.78093
5361.308649,20513.33834
4801.710102,20434.82017
496.4249,20421.61663
6686.792955,20420.06513
7021.003855,20429.95402
3890.231592,20414.74037
6121.022856,20433.56068
5410.78511,20386.66424
3300.722309,20419.49458
2774.991609,20415.41805
5907.803081,20433.39979
4037.878845,20427.39349
1733.001144,20437.81544
4359.292532,20418.23968
3769.287554,20416.23907
7067.124442,20371.77916
7612.15239,20361.84873
643.7747607,20380.01658
6430.692886,20375.92229
8264.893557,20338.07575
2907.561734,20358.85448
4926.845902,20365.43343
4465.029623,20327.17101
3758.042402,20307.11473
8078.250478,20332.34851
7743.106899,20302.08425
8181.27098,20295.83014
5231.769734,20357.10769
368.4334577,20304.14297
2400.704511,20318.84678
6586.107051,20289.99434
7079.95147,20279.11203
6303.883202,20267.43143
1417.216756,20273.07757
4639.772276,20290.29597
612.0156235,20267.72273
7529.847938,20264.29096
1530.65155,20224.04344
2548.800375,20237.18468
5962.326511,20246.40777
5257.343699,20231.88542
3900.588555,20251.71495
580.1413664,20215.6985
308.635175,20216.20638
6015.514376,20200.87503
5668.622846,20231.79441
655.8470931,20196.91859
7216.544247,20209.40115
97.23603589,20237.15296
2928.448422,20229.4857
2761.791068,20208.84248
6950.835733,20183.99662
3473.83912,20211.48281
3892.303205,20158.98109
4983.504177,20200.96699
840.3151952,20206.58109
7702.923008,20182.0105
6234.039886,20167.6534
8159.758127,20188.64382
7086.03929,20177.4392
1603.899689,20170.13488
1456.432434,20150.60947
3620.047691,20199.23706
5578.427991,20180.09347
2252.763938,20157.81255
1334.774967,20186.45978
5869.291428,20093.10766
5377.589949,20124.91725
3831.126662,20117.79221
2561.858182,20101.86885
7435.696713,20086.34885
1175.084822,20093.59805
4901.824568,20104.38878
3240.663696,20072.79578
364.5592901,20060.37967
5229.890211,20081.3491
7230.582876,20078.75917
3640.654949,20043.52864
50.1001341,20074.31777
1716.43292,20080.14983
7873.627732,20096.14882
6302.135208,20023.51304
3279.512961,20008.69935
4536.436444,20040.42182
2793.878927,20025.09161
4769.78734,20005.45184
1825.101578,20024.03547
6075.053291,20020.72976
5524.875878,20018.8093
1063.416537,20005.8181
2328.956261,20021.49487
5726.990852,19995.73303
3596.733953,19984.25519
4463.745841,19979.83954
664.4936256,20000.40106
5072.558668,19992.93787
8119.802961,19971.29991
7079.143599,19938.10934
6166.449527,19936.03428
3453.39001,19930.55867
7534.575107,19931.78931
120.4465821,19942.80805
899.6473665,19962.16732
8230.363716,19917.51123
649.3539376,19881.79213
3658.340776,19908.60995
4299.041418,19894.03552
1834.834432,19883.65675
6350.249498,19879.29224
7329.698834,19903.49439
1954.342483,19874.82672
2921.380943,19867.49174
4164.530401,19847.93928
3046.331856,19884.73428
6673.401414,19861.86251
3174.696145,19858.73631
7697.973771,19860.67632
3545.952407,19944.03047
7849.114998,19819.40381
406.2235671,19842.10331
31.71817696,19789.48334
3421.781067,19783.97776
2360.207451,19829.02338
1378.615849,19803.94525
1048.64363,19764.50199
8139.519777,19756.08401
3909.480831,19817.50111
7460.007472,19762.52286
818.0271043,19785.7341
4561.7623,19793.04901
3252.915732,19772.97589
6307.70113,19749.27453
2691.300343,19778.3866
4338.444135,19759.93384
1846.601032,19738.31426
1237.764656,19760.24737
3733.955884,19765.62057
3657.169929,19723.29371
5103.060775,19724.68197
77.46990693,19751.23384
8329.68129,19720.38569
642.9393023,19743.26776
1549.425581,19711.74226
1066.471661,19686.53881
4945.881258,19693.38746
7509.657535,19681.02226
2191.326076,19676.12933
1734.775044,19683.75331
3116.941441,19694.88474
2931.210696,19679.79499
6819.929423,19660.65589
1344.106794,19613.64649
3646.582939,19604.392
3316.315538,19596.43511
7350.265103,19621.89723
5062.923173,19598.49448
4840.815352,19576.88447
6477.254369,19578.77744
8347.770975,19573.90495
2681.421044,19569.9303
4024.443034,19599.02281
879.0308854,19575.9018
1027.258104,19537.39506
27.60028265,19580.33557
6710.852488,19543.86231
2583.812857,19538.69471
6962.723934,19521.73785
6161.20155,19560.01767
5232.769651,19523.92502
1515.386951,19529.65011
3850.31468,19502.19788
6362.433688,19503.01716
2929.539907,19492.73153
3382.780372,19511.84672
7767.79964,19497.28222
