site,site2,depth,species,a,b,c,p,size_poci
Motu Nui,southeast,shallow,POCI,12,10,7,1.6075,263.2629853644708
Motu Nui,southeast,shallow,POCI,16,15,6,1.6075,374.1143160513478
Motu Nui,southeast,shallow,POCI,25,16,14,1.6075,833.6837109495297
Motu Nui,southeast,shallow,POCI,22,16,15,1.6075,860.9916866902353
Motu Nui,southeast,shallow,POCI,16,15,10,1.6075,547.3369441751091
Motu Nui,southeast,shallow,POCI,18,12,6,1.6075,314.1728654615413
Motu Nui,southeast,shallow,POCI,17,16,6,1.6075,406.971399604929
Motu Nui,southeast,shallow,POCI,17,12,8,1.6075,375.69585599193954
Motu Nui,southeast,shallow,POCI,16,15,6,1.6075,374.1143160513478
Motu Nui,southeast,shallow,POCI,20,14,12,1.6075,619.1120867058534
Motu Nui,southeast,shallow,POCI,20,17,11,1.6075,697.585834677741
Motu Nui,southeast,shallow,POCI,27,16,14,1.6075,848.0582279659784
Motu Nui,southeast,shallow,POCI,21,19,10,1.6075,731.7339301286895
Motu Nui,southeast,shallow,POCI,20,17,6,1.6075,460.2676635814558
Motu Nui,southeast,shallow,POCI,16,9,7,1.6075,254.9416548790682
Motu Nui,southeast,shallow,POCI,17,16,10,1.6075,589.5116038046715
Motu Nui,southeast,shallow,POCI,25,19,7,1.6075,617.4457907860267
Motu Nui,southeast,shallow,POCI,26,10,12,1.6075,475.90737204614317
Motu Nui,southeast,shallow,POCI,19,12,10,1.6075,457.1019470186988
Motu Nui,southeast,shallow,POCI,25,21,14,1.6075,1087.7109108156083
Motu Nui,southeast,shallow,POCI,20,19,15,1.6075,1003.1553380743164
Motu Nui,southeast,shallow,POCI,12,10,6,1.6075,233.26684325496197
Motu Nui,southeast,shallow,POCI,25,20,12,1.6075,921.5117540776139
Motu Nui,southeast,shallow,POCI,25,15,15,1.6075,827.3315720549634
Motu Nui,southeast,shallow,POCI,27,12,12,1.6075,572.2117002814856
Motu Nui,southeast,shallow,POCI,14,12,6,1.6075,289.0551070482333
Motu Nui,southeast,shallow,POCI,17,15,14,1.6075,734.6186256050997
Motu Nui,southeast,shallow,POCI,9,7,4,1.6075,114.89750648129724
Motu Nui,southeast,shallow,POCI,27,20,12,1.6075,940.8519704940724
Motu Nui,southeast,shallow,POCI,22,16,11,1.6075,672.129145574335
Motu Nui,southeast,shallow,POCI,15,15,5,1.6075,325.2287435199015
Motu Nui,southeast,shallow,POCI,15,15,10,1.6075,541.1735897973207
Motu Nui,southeast,shallow,POCI,3,3,1,1.6075,15.220384884917568
