x,y
6376.888109,24701.20348
1371.55912,24523.53679
6220.386495,24390.85594
2396.061564,24229.93768
1767.365161,24053.8992
342.3940183,23588.64751
9313.233099,23488.27747
7745.033478,23400.03549
329.3739132,23313.12809
1694.429299,22885.71356
2593.349048,22724.68859
2735.711145,22724.21659
2669.307265,22626.73374
7933.479041,22246.23239
8019.61897,22220.68865
2676.172629,21984.26569
2116.747907,21504.47052
6693.397055,21434.28378
9370.058954,21158.14888
8130.938984,21100.62049
6270.647859,20785.74781
9246.465996,20624.69844
3259.033966,20413.04953
8190.563295,20251.69606
7028.665767,20272.34967
6398.357437,19956.19723
7366.28169,20000.75986
1011.573035,19928.22177
6814.907444,19773.71808
7403.095482,19831.67008
6103.387064,19679.20838
1139.619232,19740.20975
2915.065097,19714.77703
6991.297881,19226.2266
1122.388871,19129.75483
5888.92152,18879.28119
8047.14865,18582.93727
5297.585791,18534.91903
8306.867852,18278.01743
1417.72271,17681.61997
3085.535188,17631.55145
4594.716822,17520.16141
1334.43758,17501.79849
545.1320539,17279.80742
8764.507438,17233.36877
1108.777958,16798.41075
872.7368386,16658.88802
1769.204375,16316.17438
585.8399353,16230.4271
4271.720669,14790.44215
2195.589485,14788.49169
2012.109963,14708.2592
4659.806567,14699.07226
3252.673396,14199.42882
4708.946694,14175.76584
3750.218016,13968.14282
6207.532312,13960.57286
5273.532439,13832.91836
6006.388755,13369.31058
978.0794755,13044.7252
9099.255683,12965.16021
1736.196383,12712.57669
6225.573472,12657.63015
5985.404218,12595.97847
493.199249,12492.26175
5813.451947,12264.72607
8188.509555,12231.72023
1005.968869,12030.78947
4447.083906,11856.77841
4702.118209,11627.40733
1078.595908,11589.90422
4866.533236,11543.57462
951.8448592,11308.96087
847.0419079,11248.4433
475.7428202,11119.31812
7695.834088,10910.17135
7348.536926,10853.88944
8429.653955,10795.92082
8793.618265,10787.65124
5786.852624,10753.37928
4236.716845,10616.42326
3084.136086,10507.72979
7953.797404,10429.75769
5788.759934,10430.2357
9142.109323,10335.78923
2642.012354,10151.57091
9690.219617,9784.099206
9702.424215,9676.947817
2442.624616,9709.914526
9644.921235,9142.760814
1470.852365,8762.647532
1870.795644,8727.28737
1742.534046,8722.204681
3338.186741,8528.964176
2624.529427,7311.4166
5521.360986,7187.295973
5791.418399,7026.717366
2732.786152,6880.917402
3097.715295,6872.414421
3922.606106,6738.728951
3555.137376,6628.708951
6134.438063,5210.672443
1127.281234,4737.942114
8932.424899,4649.67428
9384.399442,3400.176445
786.9210606,2921.882497
3722.901725,2718.129594
2687.077162,2681.258709
3008.042048,2577.369855
3242.6744,2269.908725
4487.132973,2118.053807
776.6953681,1805.490722
3241.6745,1663.933103
3785.822357,1619.480933
359.5595949,1528.470172
555.933173,1513.014195
7132.862708,1378.342424
6346.743252,1134.266035
6722.515309,1033.349858
8328.777516,679.4974013
2864.398502,681.8696128
1261.206686,704.117197
6975.441318,559.2089702
1218.513217,429.1353
1755.299157,458.8269294
4612.893246,306.1203378
2074.256947,272.8351799
746.631167,269.5522361
967.8603633,233.7289554
2051.794014,79.99682208
3211.59356,133.9674954
1723.402453,89.64953579
1056.671551,28.68040521
3638.392832,42.79276765
1206.43565,11.57412891
3005.486293,16.70208414
