plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
33,0,vhu,poci,class,1,NA,100.0,40.8,NA
34,1,ana,poci,class,NA,NA,NA,0.0,NA
34,0,man,poci,class,NA,NA,NA,0.0,NA
34,0,vhu,poci,class,1,NA,100.0,40.5,NA
35,1,ana,poci,class,NA,NA,NA,0.0,NA
35,0,man,poci,class,1,NA,99.9,2.2,NA
35,0,vhu,poci,class,1,NA,100.0,34.4,NA
36,1,ana,poci,class,NA,NA,NA,0.0,NA
36,0,man,poci,class,1,NA,99.9,4.0,NA
36,0,vhu,poci,class,1,NA,99.9,25.4,NA
37,1,ana,poci,class,NA,NA,NA,0.0,NA
37,0,man,poci,class,NA,NA,NA,0.0,NA
37,0,vhu,poci,class,1,NA,100.0,22.7,NA
38,1,ana,poci,class,NA,NA,NA,0.0,NA
38,0,man,poci,class,NA,NA,NA,0.0,NA
38,0,vhu,poci,class,1,NA,100.0,18.7,NA
39,1,ana,poci,class,NA,NA,NA,0.0,NA
39,0,man,poci,class,NA,NA,NA,0.0,NA
39,0,vhu,poci,class,1,NA,99.9,11.4,NA
40,1,ana,poci,class,1,NA,100.0,0.5,NA
40,0,man,poci,class,NA,NA,NA,0.0,NA
40,0,vhu,poci,class,1,NA,100.0,23.3,NA
41,1,ana,poci,class,NA,NA,NA,0.0,NA
41,0,man,poci,class,NA,NA,NA,0.0,NA
41,0,vhu,poci,class,1,NA,100.0,33.1,NA
42,1,ana,poci,class,1,NA,100.0,1.9,NA
42,0,man,poci,class,NA,NA,NA,0.0,NA
42,0,vhu,poci,class,1,NA,99.9,23.9,NA
43,1,ana,poci,class,NA,NA,NA,0.0,NA
43,0,man,poci,class,NA,NA,NA,0.0,NA
43,0,vhu,poci,class,1,NA,100.0,32.5,NA
44,1,ana,poci,class,NA,NA,NA,0.0,NA
44,0,man,poci,class,NA,NA,NA,0.0,NA
44,0,vhu,poci,class,1,NA,100.0,32.1,NA
45,1,ana,poci,class,NA,NA,NA,0.0,NA
45,0,man,poci,class,NA,NA,NA,0.0,NA
45,0,vhu,poci,class,1,NA,100.0,42.0,NA
46,1,ana,poci,class,NA,NA,NA,0.0,NA
46,0,man,poci,class,1,NA,100.1,2.9,NA
46,0,vhu,poci,class,1,NA,99.9,26.7,NA
47,1,ana,poci,class,NA,NA,NA,0.0,NA
47,0,man,poci,class,NA,NA,NA,0.0,NA
47,0,vhu,poci,class,1,NA,100.0,33.5,NA
48,1,ana,poci,class,NA,NA,NA,0.0,NA
48,0,man,poci,class,NA,NA,NA,0.0,NA
48,0,vhu,poci,class,1,NA,100.0,2.3,NA
49,1,ana,poci,class,1,NA,100.0,1.2,NA
49,0,man,poci,class,NA,NA,NA,0.0,NA
49,0,vhu,poci,class,1,NA,99.9,24.9,NA
50,1,ana,poci,class,1,NA,100.1,0.5,NA
50,0,man,poci,class,NA,NA,NA,0.0,NA
50,0,vhu,poci,class,1,NA,100.0,28.2,NA
51,1,ana,poci,class,NA,NA,NA,0.0,NA
51,0,man,poci,class,NA,NA,NA,0.0,NA
51,0,vhu,poci,class,1,NA,100.0,29.3,NA
52,1,ana,poci,class,NA,NA,NA,0.0,NA
52,0,man,poci,class,NA,NA,NA,0.0,NA
52,0,vhu,poci,class,1,NA,99.9,25.8,NA
53,1,ana,poci,class,NA,NA,NA,0.0,NA
53,0,man,poci,class,1,NA,99.8,0.8,NA
53,0,vhu,poci,class,1,NA,100.0,31.0,NA
54,1,ana,poci,class,NA,NA,NA,0.0,NA
54,0,man,poci,class,NA,NA,NA,0.0,NA
54,0,vhu,poci,class,1,NA,100.0,45.8,NA
55,1,ana,poci,class,NA,NA,NA,0.0,NA
55,0,man,poci,class,NA,NA,NA,0.0,NA
55,0,vhu,poci,class,1,NA,100.0,39.5,NA
56,1,ana,poci,class,NA,NA,NA,0.0,NA
56,0,man,poci,class,NA,NA,NA,0.0,NA
56,0,vhu,poci,class,1,NA,99.9,46.3,NA
57,1,ana,poci,class,1,NA,100.0,1.3,NA
57,0,man,poci,class,NA,NA,NA,0.0,NA
57,0,vhu,poci,class,1,NA,100.0,40.6,NA
58,1,ana,poci,class,NA,NA,NA,0.0,NA
58,0,man,poci,class,NA,NA,NA,0.0,NA
58,0,vhu,poci,class,1,NA,100.0,23.8,NA
59,1,ana,poci,class,NA,NA,NA,0.0,NA
59,0,man,poci,class,NA,NA,NA,0.0,NA
59,0,vhu,poci,class,1,NA,99.9,15.2,NA
60,1,ana,poci,class,NA,NA,NA,0.0,NA
60,0,man,poci,class,1,NA,99.9,3.1,NA
60,0,vhu,poci,class,1,NA,100.0,20.0,NA
61,1,ana,poci,class,NA,NA,NA,0.0,NA
61,0,man,poci,class,NA,NA,NA,0.0,NA
61,0,vhu,poci,class,1,NA,100.0,31.3,NA
62,1,ana,poci,class,NA,NA,NA,0.0,NA
62,0,man,poci,class,NA,NA,NA,0.0,NA
62,0,vhu,poci,class,1,NA,99.9,34.6,NA
63,1,ana,poci,class,1,NA,100.1,0.7,NA
63,0,man,poci,class,NA,NA,NA,0.0,NA
63,0,vhu,poci,class,1,NA,100.0,22.1,NA
64,1,ana,poci,class,1,NA,100.1,2.4,NA
64,0,man,poci,class,NA,NA,NA,0.0,NA
64,0,vhu,poci,class,1,NA,100.0,36.4,NA
65,1,ana,poci,class,NA,NA,NA,0.0,NA
65,0,man,poci,class,1,NA,100.1,2.9,NA
65,0,vhu,poci,class,1,NA,100.0,38.7,NA
66,1,ana,poci,class,NA,NA,NA,0.0,NA
66,0,man,poci,class,1,NA,100.1,1.4,NA
66,0,vhu,poci,class,1,NA,99.9,30.5,NA
67,1,ana,poci,class,NA,NA,NA,0.0,NA
67,0,man,poci,class,NA,NA,NA,0.0,NA
67,0,vhu,poci,class,1,NA,100.0,31.1,NA
68,1,ana,poci,class,NA,NA,NA,0.0,NA
68,0,man,poci,class,NA,NA,NA,0.0,NA
68,0,vhu,poci,class,1,NA,100.0,22.0,NA
69,1,ana,poci,class,NA,NA,NA,0.0,NA
69,0,man,poci,class,NA,NA,NA,0.0,NA
69,0,vhu,poci,class,1,NA,99.9,22.7,NA
70,1,ana,poci,class,NA,NA,NA,0.0,NA
70,0,man,poci,class,NA,NA,NA,0.0,NA
70,0,vhu,poci,class,1,NA,100.0,37.6,NA
71,1,ana,poci,class,NA,NA,NA,0.0,NA
71,0,man,poci,class,1,NA,99.9,3.1,NA
71,0,vhu,poci,class,1,NA,100.0,27.9,NA
72,1,ana,poci,class,NA,NA,NA,0.0,NA
72,0,man,poci,class,NA,NA,NA,0.0,NA
72,0,vhu,poci,class,1,NA,99.9,29.1,NA
73,1,ana,poci,class,1,NA,100.0,1.1,NA
73,0,man,poci,class,NA,NA,NA,0.0,NA
73,0,vhu,poci,class,1,NA,100.0,37.4,NA
74,1,ana,poci,class,NA,NA,NA,0.0,NA
74,0,man,poci,class,1,NA,99.9,1.5,NA
74,0,vhu,poci,class,1,NA,100.0,38.3,NA
75,1,ana,poci,class,NA,NA,NA,0.0,NA
75,0,man,poci,class,1,NA,99.9,24.3,NA
75,0,vhu,poci,class,1,NA,100.0,43.5,NA
76,1,ana,poci,class,1,NA,99.9,1.1,NA
76,0,man,poci,class,1,NA,99.9,6.2,NA
76,0,vhu,poci,class,1,NA,99.9,36.6,NA
77,1,ana,poci,class,NA,NA,NA,0.0,NA
77,0,man,poci,class,NA,NA,NA,0.0,NA
77,0,vhu,poci,class,1,NA,100.0,22.7,NA
78,1,ana,poci,class,NA,NA,NA,0.0,NA
78,0,man,poci,class,NA,NA,NA,0.0,NA
78,0,vhu,poci,class,1,NA,100.0,33.4,NA
79,1,ana,poci,class,NA,NA,NA,0.0,NA
79,0,man,poci,class,NA,NA,NA,0.0,NA
79,0,vhu,poci,class,1,NA,99.9,28.7,NA
80,1,ana,poci,class,NA,NA,NA,0.0,NA
80,0,man,poci,class,NA,NA,NA,0.0,NA
80,0,vhu,poci,class,1,NA,100.0,18.6,NA
81,1,ana,poci,class,NA,NA,NA,0.0,NA
81,0,man,poci,class,1,NA,100.1,11.2,NA
81,0,vhu,poci,class,1,NA,100.0,26.3,NA
82,1,ana,poci,class,1,NA,99.9,1.0,NA
82,0,man,poci,class,NA,NA,NA,0.0,NA
82,0,vhu,poci,class,1,NA,99.9,33.5,NA
83,1,ana,poci,class,NA,NA,NA,0.0,NA
83,0,man,poci,class,NA,NA,NA,0.0,NA
83,0,vhu,poci,class,1,NA,100.0,40.9,NA
84,1,ana,poci,class,1,NA,100.0,1.3,NA
84,0,man,poci,class,NA,NA,NA,0.0,NA
84,0,vhu,poci,class,1,NA,100.0,37.0,NA
85,1,ana,poci,class,NA,NA,NA,0.0,NA
85,0,man,poci,class,1,NA,100.1,10.7,NA
85,0,vhu,poci,class,1,NA,100.0,38.1,NA
86,1,ana,poci,class,NA,NA,NA,0.0,NA
86,0,man,poci,class,1,NA,100.1,3.2,NA
86,0,vhu,poci,class,1,NA,99.9,30.6,NA
87,1,ana,poci,class,NA,NA,NA,0.0,NA
87,0,man,poci,class,NA,NA,NA,0.0,NA
87,0,vhu,poci,class,1,NA,100.0,26.0,NA
88,1,ana,poci,class,NA,NA,NA,0.0,NA
88,0,man,poci,class,NA,NA,NA,0.0,NA
88,0,vhu,poci,class,1,NA,100.0,30.6,NA
89,1,ana,poci,class,NA,NA,NA,0.0,NA
89,0,man,poci,class,NA,NA,NA,0.0,NA
89,0,vhu,poci,class,1,NA,99.9,29.1,NA
90,1,ana,poci,class,NA,NA,NA,0.0,NA
90,0,man,poci,class,NA,NA,NA,0.0,NA
90,0,vhu,poci,class,1,NA,100.0,9.1,NA
91,1,ana,poci,class,NA,NA,NA,0.0,NA
91,0,man,poci,class,1,NA,100.1,3.2,NA
91,0,vhu,poci,class,1,NA,100.0,33.2,NA
92,1,ana,poci,class,NA,NA,NA,0.0,NA
92,0,man,poci,class,NA,NA,NA,0.0,NA
92,0,vhu,poci,class,1,NA,99.9,21.5,NA
93,1,ana,poci,class,1,NA,100.1,1.0,NA
93,0,man,poci,class,1,NA,99.9,1.7,NA
93,0,vhu,poci,class,1,NA,100.0,26.3,NA
94,1,ana,poci,class,NA,NA,NA,0.0,NA
94,0,man,poci,class,NA,NA,NA,0.0,NA
94,0,vhu,poci,class,1,NA,100.0,24.3,NA
