north_sh,north_md,north_dp,nw_sh,nw_md,nw_dp,west_sh,west_md,west_dp,se_sh,se_md,se_dp,size
NA,NA,0.0516458435758349,NA,NA,0.0382291327167526,NA,NA,0.0242805476217288,0.054117358979732105,NA,NA,NA
NA,NA,0.039607906882103604,NA,NA,0.0301252891320676,NA,NA,0.0209096428489464,0.0370068528962614,NA,NA,NA
NA,NA,0.08936017817653841,NA,NA,0.009459476481300971,NA,NA,0.05715248146731371,0.0263262985364471,NA,NA,NA
NA,NA,0.0272144650464122,NA,NA,0.004151876497554141,NA,NA,0.0459074165118533,0.0374114316051348,NA,NA,NA
NA,NA,0.0459074165118533,NA,NA,0.041085073521072504,NA,NA,0.0729715881707635,0.083368371094953,NA,NA,NA
NA,NA,0.0390744694248279,NA,NA,0.0293776727020792,NA,NA,0.0294224073517383,0.08609916866902351,NA,NA,NA
NA,NA,0.0382291327167526,NA,NA,0.0753024573357066,NA,NA,0.0162467694363502,0.0547336944175109,NA,NA,NA
NA,NA,0.060458952762156105,NA,NA,0.0496366624891931,NA,NA,0.04661405644853,0.031417286546154104,NA,NA,NA
NA,NA,0.034907805114869704,NA,NA,0.0429361640904964,NA,NA,0.06772114561377311,0.0406971399604929,NA,NA,NA
NA,0.0745816306442866,NA,NA,NA,0.04661405644853,NA,NA,0.08873790260839881,0.037569585599194,NA,NA,NA
NA,0.0823376642519213,NA,NA,NA,0.0885598084934572,NA,NA,0.0389091366322776,0.0374114316051348,NA,NA,NA
NA,0.077047924589311,NA,NA,NA,0.0370068528962614,NA,NA,0.0111891636763025,0.061911208670585305,NA,NA,NA
NA,0.0242805476217288,NA,NA,NA,0.09272180826456501,NA,NA,0.026590249094489798,0.0697585834677741,NA,NA,NA
NA,0.0043805130754576704,NA,NA,NA,0.0194389036045802,NA,NA,0.0649408307756785,0.0848058227965978,NA,NA,NA
NA,0.0311022457673283,NA,NA,NA,0.036722090877599,NA,NA,0.06562491364916911,0.073173393012869,NA,NA,NA
NA,0.0553694595923684,NA,NA,NA,0.135894621342289,NA,NA,0.0733337828693395,0.04602676635814561,NA,NA,NA
NA,0.0217237068346561,NA,NA,NA,0.034907805114869704,NA,NA,0.0332516834897109,0.0254941654879068,NA,NA,NA
NA,0.050625124168354504,NA,NA,NA,0.057384270639816604,NA,NA,0.0357256752536479,0.058951160380467105,NA,NA,NA
NA,0.048303184601808505,NA,NA,NA,0.0194389036045802,NA,NA,0.0754866606331505,0.06174457907860271,NA,NA,NA
NA,0.054117358979732105,NA,NA,NA,0.034907805114869704,NA,NA,0.0194389036045802,0.0475907372046143,NA,NA,NA
0.012017260337974102,NA,NA,NA,NA,0.054117358979732105,NA,NA,0.036722090877599,0.0457101947018699,NA,NA,NA
0.0320479630204056,NA,NA,NA,NA,0.034907805114869704,NA,NA,0.0320824268820625,0.10877109108156101,NA,NA,NA
0.113024833860108,NA,NA,NA,0.06434317337945841,NA,NA,NA,0.0501591664671899,0.100315533807432,NA,NA,NA
0.00957857933069235,NA,NA,NA,0.08022904761233421,NA,NA,NA,0.047822467702666106,0.0233266843254962,NA,NA,NA
0.058796586605148804,NA,NA,NA,0.0740355710275128,NA,NA,NA,0.0518676522779022,0.09215117540776141,NA,NA,NA
0.0780612240090547,NA,NA,NA,0.0286588660285625,NA,NA,NA,0.0153945483178857,0.0827331572054963,NA,NA,NA
0.0242805476217288,NA,NA,NA,0.043594871731837,NA,NA,NA,0.00941641066199857,0.057221170028148596,NA,NA,NA
0.068729286510942,NA,NA,NA,0.06434317337945841,NA,NA,NA,0.0038324309170739003,0.028905510704823303,NA,NA,NA
0.06555551556855481,NA,NA,NA,0.0307659915826765,NA,NA,NA,0.013352009474951002,0.07346186256051,NA,NA,NA
0.037128628495455306,NA,NA,NA,0.13546396626640603,NA,NA,NA,0.034003563642555,0.011489750648129701,NA,NA,NA
0.054117358979732105,NA,NA,NA,0.0643222422948812,NA,NA,NA,0.0194389036045802,0.09408519704940721,NA,NA,NA
