x,y
1995.905913,17704.95732
158.1085583,17671.11261
370.6904878,17648.515
489.934752,17640.45935
982.4477085,17588.01548
1972.186851,17568.14844
823.4107982,17489.6651
1840.864969,17447.84639
701.421285,17441.38322
784.8016021,17430.34525
571.7291636,17286.689
478.1023897,17301.0926
807.5312528,17233.65909
1291.818374,17203.03158
1020.750117,17146.21978
1181.081603,17129.24218
536.608639,17112.66584
1104.942763,17100.78593
1210.250201,16831.01405
776.5923091,16645.98304
1708.746976,16470.16948
3624.922589,16304.63999
1698.514676,16214.21947
1439.200927,16213.81119
106.0144329,16144.60832
1490.574606,16010.02883
796.9283048,15971.42499
615.2751924,15861.56769
1472.214965,15840.80007
864.0528448,15839.29933
2852.668754,15635.52692
952.0074501,15598.12874
2674.567264,15645.91228
2311.587514,15584.19726
998.5559606,15501.68908
765.6047565,15474.42887
964.9496714,15444.62733
1080.29186,15227.03727
1375.398733,15190.95369
1583.582292,15116.38819
1011.800124,15097.48902
1687.97904,15090.54477
3976.435339,15069.71611
1238.862682,15026.01251
1830.483063,15007.13898
2279.492263,15007.59328
2229.887396,14991.75816
3724.823352,14834.19045
1351.552451,14776.53804
3797.650823,14745.37772
776.6735845,14700.65114
2393.642337,14717.48035
2303.512256,14702.15932
3516.56377,14711.71684
878.6302509,14685.11033
3925.94884,14709.28133
845.8269658,14636.78995
3862.829233,14634.40568
42.16021291,14644.1593
785.6800339,14594.33244
219.1270099,14601.26803
2375.514318,14597.61533
1356.016448,14506.18861
58.68884404,14533.55808
241.7019404,14495.75961
6748.888638,14492.03043
4254.786027,14435.51201
1431.162325,14397.92266
654.9681033,14411.46702
190.8584582,14395.67498
2715.374666,14380.71151
333.4624171,14350.30781
160.5190149,14310.45218
2611.931735,14323.98758
1123.000689,14289.0606
3350.366404,14139.60452
4006.020509,14098.16394
1063.39807,14074.57469
3415.677831,14019.14274
3277.217399,13948.46612
1129.12571,13926.7259
4209.377825,13864.70472
2.226143263,13819.30102
4293.485743,13770.82303
157.9470847,13733.48636
1274.946374,13731.12841
555.2269369,13738.78948
201.9901504,13672.35302
981.4741554,13646.40256
1876.055424,13620.75775
1251.171575,13574.99322
539.4086662,13559.90322
1125.254696,13536.83941
1024.98994,13534.74996
4113.126874,13500.15051
2331.039283,13481.01541
266.3605124,13398.67803
1286.741569,13357.15379
4121.95817,13334.39152
4875.269893,13267.5814
346.9132386,13248.21435
5028.828062,13169.98849
130.826501,13191.35228
4112.702847,13150.19099
4685.802984,13120.06151
4916.663839,13108.51703
869.9478298,13027.54803
4591.849117,13005.25662
811.9497393,12971.75209
2366.784213,12964.74625
992.0729744,12935.54613
4667.400704,12934.92731
650.1703764,12895.55838
1148.809612,12905.61972
543.1077786,12819.95166
610.2398794,12819.19787
4078.046898,12782.54026
384.8722189,12762.71049
523.6832445,12739.27139
958.1744791,12750.15781
764.8075045,12740.59437
4075.778589,12708.54022
1061.85519,12684.87705
526.8253388,12651.65511
5016.418543,12646.10062
4095.35466,12607.90728
1269.302482,12549.70613
367.0781106,12552.8936
3686.506109,12547.25247
4032.483859,12527.86664
4710.878675,12582.6546
4245.477117,12500.18609
4467.85834,12491.03586
3984.149619,12377.31759
3834.228693,12375.07487
3939.526872,12280.71286
453.3440784,12316.63025
2547.548199,12271.093
3650.791617,12269.10374
2589.222278,12196.99539
3637.500866,12184.75495
2524.630408,12147.12864
1376.853772,12173.88495
4059.890326,12156.71646
3944.29846,12103.31519
3524.607969,12102.84666
2566.384568,12071.0303
3370.510412,12065.08796
4076.565747,12021.97674
3223.157025,11973.13585
4582.761185,11902.61683
2065.309696,11901.90589
3421.179374,11893.56602
1839.080487,11835.64587
4528.764898,11845.39887
4383.74231,11843.67168
2420.064384,11814.17488
4630.872464,11771.965
4943.849878,11753.95075
3961.370449,11737.56647
3753.940168,11709.23557
1176.114485,11671.5884
1655.439144,11661.05123
1342.693939,11649.18586
2366.163695,11641.98706
4002.011397,11624.8399
4931.749395,11630.02583
4967.345973,11543.49078
4643.939639,11586.94181
2327.775457,11535.02663
4684.228019,11505.83948
4494.686782,11517.88417
4609.8259,11453.94291
2379.870351,11446.49245
2151.8837,11424.27438
4729.277922,11392.05452
4584.657359,11357.0112
4391.335059,11308.92608
4724.145657,11229.39065
4551.832853,11179.26465
3194.844472,11155.93835
3201.881428,11114.15989
2298.9689,11140.93217
2129.57171,10993.58029
3175.297002,10951.23377
3746.656664,10945.50151
220.3656412,10916.59638
1359.651397,10861.65368
1554.421603,10841.14581
111.2903843,10815.76622
1509.51855,10765.24307
4143.703723,10734.13224
1682.948716,10695.53409
4627.349043,10617.40233
167.3081697,10622.39655
4098.606811,10613.98551
4011.60143,10606.7874
1329.526906,10620.0704
2061.91242,10568.06001
972.3896871,10526.31866
683.4155174,10514.76024
4164.089541,10513.86792
3795.006059,10494.95191
4271.2635,10487.89347
3196.731404,10499.86998
3950.843961,10456.82149
5380.2434,10453.82503
1082.370008,10405.13874
795.1217057,10413.02807
5484.978592,10391.43039
4383.959525,10395.18039
1420.14602,10334.13728
2853.157267,10326.03443
1779.013508,10280.90189
5512.170533,10279.08056
2196.457343,10286.99731
1927.11801,10223.24386
1094.249799,10202.62663
1753.434826,10210.53119
949.0738782,10133.18782
1455.388671,10128.50893
2470.820823,10133.24879
994.6960905,10024.66879
1406.605009,10007.85525
1957.833432,9962.117398
1111.633137,9972.208986
3915.373335,9936.412672
1990.774828,9917.672418
1329.777767,9891.120387
882.6276681,9894.014446
1002.369797,9887.652628
4028.072847,9913.637266
2020.183673,9801.204679
1373.058288,9803.400255
2369.608122,9811.605644
1308.2232,9800.997448
1747.26777,9770.745854
2146.202697,9780.869875
147.1433045,9756.817247
1011.278556,9769.092945
716.9390402,9757.556879
1074.494064,9765.697289
1188.900924,9757.477535
2167.448466,9714.779022
1744.426018,9695.738017
275.4578599,9730.232636
1658.992488,9726.338682
217.1199093,9691.392177
880.3041381,9700.970661
106.2261734,9662.755902
1052.384037,9658.452393
945.6491259,9649.095465
336.8683073,9643.749361
1130.918905,9624.048731
215.947038,9610.951347
314.96038,9592.626914
1744.68161,9603.085943
1580.005477,9564.217012
2119.84799,9560.476001
2383.414697,9581.724666
434.5478657,9541.344092
1942.699086,9508.720419
517.3310108,9513.354016
4447.478884,9526.345491
2803.933723,9492.234428
2474.10885,9515.250365
131.4695939,9478.492652
363.8548914,9479.24425
42.87883709,9456.743076
1329.11568,9445.984701
464.6978655,9403.136087
2860.475845,9414.623911
526.1401091,9365.640936
541.0146205,9311.314114
109.1434127,9359.816784
323.1753078,9353.861811
1182.137518,9315.766112
1269.530711,9298.916835
2484.886023,9297.64889
3637.721107,9294.7001
3995.150717,9288.457494
631.121208,9302.22898
178.9419092,9262.988944
429.3130466,9259.126467
291.8046402,9248.022617
829.0241302,9234.106686
1226.237944,9198.828174
154.3955195,9208.412469
59.60176561,9208.681974
4155.033456,9209.429367
166.0137042,9162.521652
1330.675061,9142.845025
651.952777,9141.018609
259.2414668,9120.98208
2471.119089,9083.39447
2078.935527,9051.714722
20.99653405,9038.237482
12.65808186,8967.103192
341.1254388,8960.552948
1322.62685,8907.175383
1644.83392,8880.070371
718.6475102,8754.320333
415.2454359,8661.79805
437.705461,8583.441152
1267.961228,8545.247295
1828.315739,8587.645199
2452.040858,8482.989553
1277.827633,8432.360531
1751.597895,8371.897072
1370.469742,8207.015593
865.8043159,8161.562405
1111.303605,8075.52037
1508.333218,8046.680223
1063.136701,8000.770223
1021.790327,7934.560153
957.0356941,7935.656685
2751.612971,7801.560853
1543.920977,7802.993528
715.054207,7745.964643
40.09924664,7688.560745
1559.907474,7521.939186
2040.541521,7068.565517
2023.192364,6784.553895
284.8287189,6532.437584
3567.130595,6485.680783
3266.608659,6440.550241
126.1312518,6372.715428
8.865100727,6310.163669
3018.890882,6273.305129
268.4319563,6239.111514
3405.463481,6235.3231
193.4332354,6191.677828
3444.246902,6166.973328
3580.178364,6148.536223
428.845463,6125.725238
27.01170413,6050.054933
3383.088631,6033.210789
358.5320119,6008.384494
3395.749804,5909.707016
3579.682767,5892.952525
3463.074894,5639.689641
197.3386676,5612.190668
3530.382265,5562.139492
3322.178151,5516.111199
3490.154514,5465.882917
118.7733917,5491.978903
3404.596787,5436.423749
3142.083077,5389.299161
3634.20838,5388.960082
3441.322004,5351.847512
2995.244619,5283.763917
3279.181898,5274.745437
3634.87897,5283.050262
3398.041274,5227.91835
3178.840676,5215.832882
2940.268616,5133.202125
3981.493687,5133.365343
2685.302204,5089.320398
3176.486058,5067.94009
4083.678412,4934.227815
3081.293778,4785.307216
1844.33503,4118.965178
6886.241541,3859.138614
3609.149348,3186.960622
3704.815254,2940.820678
