layer,level,class,id,x,y
1,patch,0,1,0.05791503153490579,20.609074060542618
1,patch,0,2,0.08117186441047823,20.45341169188
1,patch,0,3,0.001725261380801469,19.448152087604736
1,patch,0,4,0.028136392352671905,12.719188033641924
1,patch,0,5,0.016403660976677295,12.619072217047758
1,patch,0,6,0.055015121208887886,10.819626111945132
1,patch,0,7,0.011066695830985155,8.879642611802248
1,patch,0,8,0.03660011837685641,8.513560396647106
1,patch,0,9,0.05892618135147112,13.308201142830706
1,patch,0,10,0.08245640299464536,12.95907500768101
1,patch,0,11,0.1477619711997043,22.720835893224166
1,patch,0,12,0.15518556954519794,15.220917388179512
1,patch,0,13,0.15216464430780732,13.171785149088084
1,patch,0,14,0.16571463586983926,7.728113076405341
1,patch,0,15,0.14805990346291967,13.598147697842117
1,patch,0,16,0.17606761192312056,8.967679203854157
1,patch,0,17,0.1826741255474227,18.56436452122608
1,patch,0,18,0.18357899804055838,13.338811929772683
1,patch,0,19,0.21583723021348802,12.95869570006894
1,patch,0,20,0.2340061484227068,14.948765066278014
1,patch,0,21,0.2056329035204256,13.730531507598238
1,patch,0,22,0.22106171147620232,24.869268435522752
1,patch,0,23,0.23218475337220343,12.894108050898005
1,patch,0,24,0.2671428988830074,20.259352273646844
1,patch,0,25,0.22083450776730526,19.32737482150761
1,patch,0,26,0.22445337680737276,20.139408012689625
1,patch,0,27,0.25037555821428176,13.03550771806133
1,patch,0,28,0.2828058961045323,19.24133454737201
1,patch,0,29,0.2762609646206034,7.897301508538885
1,patch,0,30,0.2707657737175092,8.712883279602352
1,patch,0,31,0.30866137784345654,15.36282776041459
1,patch,0,32,0.30691854489517645,20.54870802683816
1,patch,0,33,0.30244412264760734,13.525236935217151
1,patch,0,34,0.3040944271014596,13.638450960602855
1,patch,0,35,0.363362131486311,12.835644429747635
1,patch,0,36,0.3386829047681144,20.400213383928143
1,patch,0,37,0.37629373336603156,8.779642393907155
1,patch,0,38,0.39936501883420833,9.192475348270245
1,patch,0,39,0.3733790803761113,18.85615891318924
1,patch,0,40,0.4091805828252794,13.014443811619042
1,patch,0,41,0.45332110280690247,13.163404001054388
1,patch,0,42,0.3861796256064902,13.693115796927742
1,patch,0,43,0.5030702291930916,8.4549125913821
1,patch,0,44,0.4417621780993916,13.499446762643345
1,patch,0,45,0.4725880221170454,13.571397513144003
1,patch,0,46,0.4785780763320093,12.609853273983063
1,patch,0,47,0.5105598583800812,13.339869743633642
1,patch,0,48,0.4677957184101422,20.195501624490653
1,patch,0,49,0.5150951324186878,17.665785058272576
1,patch,0,50,0.4867218779235023,18.64439333397396
1,patch,0,51,0.520177976354588,24.837464114386638
1,patch,0,52,0.5401325719111809,17.961085530873074
1,patch,0,53,0.6026636367108767,13.030071591674565
1,patch,0,54,0.5828696157205799,12.189379680317396
1,patch,0,55,0.6364768234491458,17.333263314999186
1,patch,0,56,0.6020057168526646,8.620060290776962
1,patch,0,57,0.6100293594195044,13.427270297357087
1,patch,0,58,0.6713133385860861,24.34849489883153
1,patch,0,59,0.6144722963035458,12.07909862027129
1,patch,0,60,0.6524523223307328,13.232753598124159
1,patch,0,61,0.6879622231237106,24.826126428496572
1,patch,0,62,0.7265104977959683,13.387876506695
1,patch,0,63,0.7354484937111778,17.92809686777299
1,patch,0,64,0.7575751599268604,19.083070461113476
1,patch,0,65,0.7389054580746189,13.179982176578397
1,patch,0,66,0.753635344091487,24.083299331110783
1,patch,0,67,0.73986961982812,17.804783973247364
1,patch,0,68,0.7627800458044128,18.04164789754966
1,patch,0,69,0.7798324706744137,19.334838533905643
1,patch,0,70,0.7675227351468046,2.0691489084645593
1,patch,0,71,0.7598348396551007,13.103521525323066
1,patch,0,72,0.8866205263080259,13.090734926822986
1,patch,0,73,0.8030521508471734,24.328222985689198
1,patch,0,74,0.864324176751371,22.322478875884425
1,patch,0,75,0.8572391718039538,18.040586994371996
1,patch,0,76,0.8443528937037019,1.9503052912180783
1,patch,0,77,0.9201746212447401,20.281578305886836
1,patch,0,78,0.9159318657378588,12.863844239657343
1,patch,0,79,0.9134239149549802,18.148058301994507
1,patch,0,80,1.0047195820669452,10.900417501393243
1,patch,0,81,0.9602019380359057,14.797275572669362
1,patch,0,82,1.0097755877078742,12.319597383530976
1,patch,0,83,0.9855371956591374,24.545942711962137
1,patch,0,84,1.0073716620869115,13.731572480574755
1,patch,0,85,1.074725628898166,17.929958864409457
1,patch,0,86,1.1040946023166922,20.538946738655785
1,patch,0,87,1.0914219565620586,20.68858180153464
1,patch,0,88,1.0758474130526479,21.777611987830884
1,patch,0,89,1.0913075968830659,23.426480665443442
1,patch,0,90,1.102858593144607,24.530407665824978
1,patch,0,91,1.1199216332649244,22.477094224429024
1,patch,0,92,1.1173796338050215,14.654095696930021
1,patch,0,93,1.1571841820784952,24.61389559956114
1,patch,0,94,1.188725152379614,20.598702289525278
1,patch,0,95,1.1410577448652437,18.25529484507595
1,patch,0,96,1.1348406539703224,24.25358763415237
1,patch,0,97,1.1650824963525799,12.994858252896982
1,patch,0,98,1.2143701207171433,22.291137935251392
1,patch,0,99,1.240506075784147,13.923625578133471
1,patch,0,100,1.22266473876695,18.333823152153286
1,patch,0,101,1.2372367216812863,13.651931910972905
1,patch,0,102,1.2348814561631156,20.666709348984764
1,patch,0,103,1.2168345517581396,11.485338069602356
1,patch,0,104,1.3340001099683503,14.260242942642464
1,patch,0,105,1.3468052330667775,17.94341863631289
1,patch,0,106,1.3563383585261826,21.735668709903337
1,patch,0,107,1.3795893560857488,19.204811356343242
1,patch,0,108,1.329181266239327,13.578921726873618
